,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
0,"('어떤', '특징')","('어떤', '특성')","('어떤', '특별한 점')","('어떤', '특이한 점')","('어떤', '생김새')","('어떤', '특이점')","('어느', '특징')","('어느', '특성')","('어느', '특별한 점')","('어느', '특이한 점')","('어느', '생김새')","('어느', '특이점')","('무슨', '특징')","('무슨', '특성')","('무슨', '특별한 점')","('무슨', '특이한 점')","('무슨', '생김새')","('무슨', '특이점')","('어떠한', '특징')","('어떠한', '특성')","('어떠한', '특별한 점')","('어떠한', '특이한 점')","('어떠한', '생김새')","('어떠한', '특이점')",특징이 뭐야,특징 알려줘,특징이 궁금해,특징,특징 말해봐, 특징 궁금해, 특징 말해줘,"조금, 자세히, 설명","어떤, 높은, 평가","장점, 무엇",장점,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"('어떤', '크기')","('어떤', '정도')","('어떤', '비율')","('어느', '크기')","('어느', '정도')","('어느', '비율')","('무슨', '크기')","('무슨', '정도')","('무슨', '비율')","('어떠한', '크기')","('어떠한', '정도')","('어떠한', '비율')",크기가 어때,크기,크기 알려줘, 어느정도 크기야,"전반적인, 크기",둘레,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"('어떤', '종류')","('어느', '종류')","('무슨', '종류')","('어떠한', '종류')",어디에 속해,종류가 뭐야,종류,일종,일종이야,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"('언제', '제작')","('언제', '구현')","('언제', '구성')","('언제', '생산')","('언제', '제조')","('어느 때에', '제작')","('어느 때에', '구현')","('어느 때에', '구성')","('어느 때에', '생산')","('어느 때에', '제조')","('어느 시대에', '제작')","('어느 시대에', '구현')","('어느 시대에', '구성')","('어느 시대에', '생산')","('어느 시대에', '제조')","('어느 시절에', '제작')","('어느 시절에', '구현')","('어느 시절에', '구성')","('어느 시절에', '생산')","('어느 시절에', '제조')","('어떤 때에', '제작')","('어떤 때에', '구현')","('어떤 때에', '구성')","('어떤 때에', '생산')","('어떤 때에', '제조')","('어떤 시대에', '제작')","('어떤 시대에', '구현')","('어떤 시대에', '구성')","('어떤 시대에', '생산')","('어떤 시대에', '제조')","('어떤 시절에', '제작')","('어떤 시절에', '구현')","('어떤 시절에', '구성')","('어떤 시절에', '생산')","('어떤 시절에', '제조')",언제 만들었어,만든게 언제야,언제 만들었을까,언제 만들어졌어,언제 만들,언제 만들어,"만들어진, 시기","만들어진, 때","언제, 그려진",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"('어디서', '제작')","('어디서', '구현')","('어디서', '구성')","('어디서', '생산')","('어디서', '제조')","('어느 곳에서', '제작')","('어느 곳에서', '구현')","('어느 곳에서', '구성')","('어느 곳에서', '생산')","('어느 곳에서', '제조')","('어느 장소에서', '제작')","('어느 장소에서', '구현')","('어느 장소에서', '구성')","('어느 장소에서', '생산')","('어느 장소에서', '제조')","('어떤 장소에서', '제작')","('어떤 장소에서', '구현')","('어떤 장소에서', '구성')","('어떤 장소에서', '생산')","('어떤 장소에서', '제조')","('어떤 곳에서', '제작')","('어떤 곳에서', '구현')","('어떤 곳에서', '구성')","('어떤 곳에서', '생산')","('어떤 곳에서', '제조')","('어디에서', '제작')","('어디에서', '구현')","('어디에서', '구성')","('어디에서', '생산')","('어디에서', '제조')",어디서 만들었어,만든 곳이 어디야,어디서 만들,어디서 만들었을까, 어느 장소에서 만들었어,어디서 만듦,어디서만듬,어디서 만들었냐,어느 장소에서 만들었을까,"일본에서, 만들어진건가요",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"('어떻게', '제작')","('어떻게', '구현')","('어떻게', '구성')","('어떻게', '생산')","('어떻게', '제조')","('어떤 방식으로', '제작')","('어떤 방식으로', '구현')","('어떤 방식으로', '구성')","('어떤 방식으로', '생산')","('어떤 방식으로', '제조')","('어떠하게', '제작')","('어떠하게', '구현')","('어떠하게', '구성')","('어떠하게', '생산')","('어떠하게', '제조')",만든 방법 알려줘,어떻게 만들었어,만든 방식 궁금해,만드는 방법,어떻게 만들었을까,어떻게 만들었냐,어떻게 만들었음,"어떻게, 만든거야",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"('언제', '입수')","('언제', '발견')","('언제', '다시 발견')","('언제', '획득')","('어느 때에', '입수')","('어느 때에', '발견')","('어느 때에', '다시 발견')","('어느 때에', '획득')","('어느 시대에', '입수')","('어느 시대에', '발견')","('어느 시대에', '다시 발견')","('어느 시대에', '획득')","('어느 시절에', '입수')","('어느 시절에', '발견')","('어느 시절에', '다시 발견')","('어느 시절에', '획득')","('어떤 때에', '입수')","('어떤 때에', '발견')","('어떤 때에', '다시 발견')","('어떤 때에', '획득')","('어떤 시대에', '입수')","('어떤 시대에', '발견')","('어떤 시대에', '다시 발견')","('어떤 시대에', '획득')","('어떤 시절에', '입수')","('어떤 시절에', '발견')","('어떤 시절에', '다시 발견')","('어떤 시절에', '획득')",입수한게 언제야,언제 입수함,"입수된, 년도","입수한, 때","입수, 때",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"('어디서', '입수')","('어디서', '발견')","('어디서', '다시 발견')","('어디서', '획득')","('어느 곳에서', '입수')","('어느 곳에서', '발견')","('어느 곳에서', '다시 발견')","('어느 곳에서', '획득')","('어느 장소에서', '입수')","('어느 장소에서', '발견')","('어느 장소에서', '다시 발견')","('어느 장소에서', '획득')","('어떤 장소에서', '입수')","('어떤 장소에서', '발견')","('어떤 장소에서', '다시 발견')","('어떤 장소에서', '획득')","('어떤 곳에서', '입수')","('어떤 곳에서', '발견')","('어떤 곳에서', '다시 발견')","('어떤 곳에서', '획득')","('어디에서', '입수')","('어디에서', '발견')","('어디에서', '다시 발견')","('어디에서', '획득')",어디서 다시 발견함,어디서 발견,발견 장소,발견 장소가 어디야,발견한 곳이 어디야,다시 발견한 곳,다시 발견한 장소,입수한 장소가 어디야,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"('어떻게', '입수')","('어떻게', '발견')","('어떻게', '다시 발견')","('어떻게', '획득')","('어떤 방식으로', '입수')","('어떤 방식으로', '발견')","('어떤 방식으로', '다시 발견')","('어떤 방식으로', '획득')","('어떠하게', '입수')","('어떠하게', '발견')","('어떠하게', '다시 발견')","('어떠하게', '획득')",어떻게 발견했어,어떻게 입수했어,입수 어떻게,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"('어떤', '유약')","('어떤', '바르는 약')","('어느', '유약')","('어느', '바르는 약')","('무슨', '유약')","('무슨', '바르는 약')","('어떠한', '유약')","('어떠한', '바르는 약')",유약 뭐 사용,유약은 어떤거 사용,유약은,사용한 유약,유약,유약 궁금,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
